county_fips,county_name,lat,lon
48335,Mitchell,32.304117,-100.924392
48337,Montague,33.678356,-97.725014
48339,Montgomery,30.298801,-95.50295
48341,Moore,35.835676,-101.890502
48343,Morris,33.116466,-94.731265
48345,Motley,34.057899,-100.793152
48347,Nacogdoches,31.62056,-94.62025
48349,Navarro,32.048448,-96.476909
48351,Newton,30.786718,-93.73925
48353,Nolan,32.312338,-100.418108
48355,Nueces,27.740032,-97.516214
48357,Ochiltree,36.278744,-100.815864
48359,Oldham,35.401921,-102.59762
48361,Orange,30.122323,-93.8941
48363,Palo Pinto,32.752204,-98.317967
48365,Panola,32.163978,-94.305156
48367,Parker,32.777096,-97.805905
48369,Parmer,34.532163,-102.784853
48371,Pecos,30.773298,-102.718153
48373,Polk,30.784553,-94.837338
48375,Potter,35.398675,-101.893804
48377,Presidio,30.005891,-104.261619
48379,Rains,32.870457,-95.795613
48381,Randall,34.962529,-101.895547
48383,Reagan,31.375191,-101.514395
48385,Real,29.830097,-99.812549
48387,Red River,33.619625,-95.048429
48389,Reeves,31.308366,-103.712706
48391,Refugio,28.322116,-97.162472
48393,Roberts,35.838596,-100.836682
48395,Robertson,31.025481,-96.514941
48397,Rockwall,32.899886,-96.41205
48399,Runnels,31.845119,-99.982715
48401,Rusk,32.109423,-94.756382
48403,Sabine,31.3433,-93.851913
48405,San Augustine,31.382449,-94.16318
48407,San Jacinto,30.574388,-95.163136
48409,San Patricio,28.011794,-97.517157
48411,San Saba,31.155138,-98.819292
48413,Schleicher,30.896233,-100.527216
48415,Scurry,32.744353,-100.913346
48417,Shackelford,32.74382,-99.347005
48419,Shelby,31.790139,-94.142579
48421,Sherman,36.278593,-101.899265
48423,Smith,32.375105,-95.268939
48425,Somervell,32.218071,-97.769217
48427,Starr,26.530903,-98.740235
48429,Stephens,32.738052,-98.839344
48431,Sterling,31.835773,-101.054911
48433,Stonewall,33.17958,-100.253807
48435,Sutton,30.522185,-100.513359
48437,Swisher,34.526319,-101.743865
48439,Tarrant,32.772119000000004,-97.291224
48441,Taylor,32.297126,-99.89043
48443,Terrell,30.232343,-102.072513
48445,Terry,33.171229,-102.339284
48447,Throckmorton,33.170695,-99.205796
48449,Titus,33.214599,-94.966783
48451,Tom Green,31.398295,-100.46385
48453,Travis,30.239513,-97.69127
48455,Trinity,31.096675,-95.151687
48457,Tyler,30.769295,-94.375656
48459,Upshur,32.735349,-94.941184
48461,Upton,31.353816,-102.041546
48463,Uvalde,29.350308,-99.768427
48465,Val Verde,29.875285,-101.143324
48467,Van Zandt,32.558787,-95.836906
48469,Victoria,28.79637,-96.971198
48471,Walker,30.743163,-95.569825
48473,Waller,30.01359,-95.982149
48475,Ward,31.513069,-103.105113
48477,Washington,30.215075,-96.410272
48479,Webb,27.760799,-99.340752
48481,Wharton,29.27848,-96.229674
48483,Wheeler,35.392593,-100.253107
48485,Wichita,33.988212,-98.70801
48487,Wilbarger,34.08492,-99.24244
48489,Willacy,26.481861,-97.594731
48491,Williamson,30.649082,-97.605065
48493,Wilson,29.173883,-98.086734
48495,Winkler,31.832862,-103.054925
48497,Wise,33.219095,-97.653997
48499,Wood,32.783588,-95.382166
48501,Yoakum,33.162339,-102.832241
48503,Young,33.158778,-98.67839
48505,Zapata,26.996981,-99.182603
48507,Zavala,28.864652,-99.75983
